Frequency (Hz),G' (Pa) ,G'' (Pa)
394534.4478,828266763.5,50199880.22
258225.8755,796288303.3,53560759.55
152195.0328,800927622.9,59181852.93
75195.97601,780284182.6,67454968.9
37784.16166,753378551.5,77402694.79
24979.90601,726632777.9,84703604.31
14784.2649,712739261.9,96493266.71
7455.186707,666659664.5,112187561.9
3761.298729,627413005.5,130142804.5
2510.014879,584307125.5,141448404.6
1454.641414,546562917.7,146503165.8
718.4121333,474096187.4,176355964.6
365.8562014,391619604.1,186628435.3
246.8630537,344594918.2,191732604.8
149.0119093,274010739.1,192366197.4
75.6237564,181475304.2,174722020.9
25.34237353,69964490.5,115745741.9
7.621188854,14537417.33,49460116.59
12672.27451,638293449.3,98590646.76
8281.478141,649248276.3,111305404.7
5085.411714,618131007.9,122632164.9
2473.845139,561912515.7,139314716.4
1210.042022,510148046.9,159869168.2
808.2316375,468537265.6,174917704.2
482.6427983,418958739.1,175082660.2
239.7249843,327905903.4,185729035.9
119.8702893,242441824.3,179320874.6
80.28561229,189162420.4,170512117.9
46.93644776,130549351.8,160643340.3
23.84935941,69103574.04,110430184.2
12.23333253,31308891.1,73215557.26
8.038585235,19005250.51,55677789.4
4.894329945,9007145.036,36272131.86
2.483122821,3346314.603,19413818.38
1.260700366,1421517.772,9903098.029
0.822878912,925412.5227,6599134.901
0.504690301,647878.2107,4060797.596
0.259956832,426224.2197,2007402.17
0.132532726,322070.5911,956515.6615
2374.837324,563365192,141140415
1605.36353,529484451,153103444.3
922.9303372,475043002.9,165474939.5
463.0443288,406534923.1,171327735.2
231.1143828,316506230,180720797.3
152.2679451,275445497.6,181574548.8
88.46891668,212754970.2,174557404.7
45.39322934,134752300.3,148659344.2
22.92045347,74923444.8,114828840.9
15.20097351,47362348.75,92704084.99
9.503768757,26926089.97,65787004.25
4.535308337,9937409.593,37319075.49
2.334158127,3843345.967,20361493.46
1.551961849,2349213.717,13719416.19
0.902068826,1392784.074,8588769.207
0.470527166,817738.9399,4381437.631
0.237921817,587642.4353,2314319.761
0.161651201,490710.881,1606271.19
0.097081992,397360.3281,1002439.429
0.048855719,329313.5359,531780.7492
548.9228871,413609222.6,185805644.3
320.1683713,361284336.8,167679037.9
163.2101857,276416987.7,164842492.9
82.55897202,202178022.8,163419135.4
54.98987197,157978639.4,158376749.1
33.01758361,106567523.3,134166059.9
16.12447194,55385947.83,99431736.54
8.214988193,23613759.6,62322150.42
5.38836357,13412120.65,45410487.65
3.135201885,6993986.193,28983691.91
1.596913973,3230169.264,15312002.58
0.830413701,1979634.971,8104555.835
0.559120935,986825.9715,5671546.505
0.336997222,737414.2382,3495517.219
0.168239469,497495.3099,1895346.118
0.087664333,382130.7868,1019544.944
0.034928593,294018.128,457016.5329
0.017777858,261122.9576,255308.4866
224.7580017,315449369.4,163565568.7
143.3717907,276969018.9,165668081.8
87.11187443,211920160,170918417.4
44.12957378,138147009.6,148543791.2
21.29698802,77617424.03,116229533.9
14.17142449,51707982.64,94163832.34
8.521396077,30059493.01,71618315.56
4.340728222,11944450,39648573.8
2.163154503,4705209.888,22444640.28
1.423123714,2999430.035,15527114.63
0.855042628,1818697.411,9585551.424
0.431956891,1084219.533,5001403.038
0.216647054,744807.1426,2716986.458
0.144936109,643823.1146,1908972.914
0.089287,526973.7603,1202107.271
0.045890324,395987.0085,679090.4357
0.0233704,303875.8792,366607.1892
0.015149565,282550.3311,274476.1602
74.2874779,180328861,161794468
48.28514452,143821445.5,164663878.5
29.4213606,89654873.93,169282993.3
14.64395764,47504300.29,91888454.53
7.265721019,20742950.94,56748083.16
5.017205856,12560476.53,42414843.25
2.990052448,6670118.31,27329367.03
1.484382278,2952283.111,14911053.42
0.733323799,1525491.478,7754437.329
0.493147805,1147655.169,5391864.222
0.296005039,881369.4685,3368715.558
0.146996379,673857.068,1869264.427
0.075741367,522417.0341,1007934.695
0.049664014,460280.3409,726094.1503
0.03049595,368802.6964,474308.5663
0.015799098,285014.8459,281312.5923
0.00768625,233314.0415,210229.897
0.005331794,244513.4494,109097.5918
