x,Ep,Epp
3.209648553338939377e-06,9.216866300139157102e+06,5.621407686067661270e+05
5.547523653828754794e-06,9.152699430006753653e+06,6.558971426466862904e+05
8.237286064631353107e-06,9.423198775276277214e+06,7.240166438325892668e+05
1.618663185258614604e-05,9.708698070770582184e+06,8.666966413904164219e+05
3.676959187882330993e-05,1.045570770108312182e+07,1.524502906995284837e+06
7.699489697850208237e-05,1.115031662077854574e+07,2.692735143991459627e+06
1.503795932395588680e-04,1.198149802747050300e+07,3.026771756073799916e+06
2.641176572815788471e-04,1.319355072511599958e+07,5.732954889566347934e+06
4.858111002535425564e-04,1.497082322138120979e+07,8.122263619230637327e+06
7.681486523264068316e-04,1.706458588826381788e+07,1.103326424022170901e+07
1.275216911997048650e-03,1.999714494053599983e+07,1.403757279972587712e+07
1.963008783615231324e-03,2.310777015550487116e+07,1.656139961697731912e+07
2.880948828376671440e-03,2.762429371497222781e+07,2.013975368141903356e+07
4.143599450604381479e-03,3.225918501128416136e+07,2.532266310456163436e+07
6.362273399033517053e-03,3.842677486249348521e+07,3.351894903814312071e+07
8.949460515154779305e-03,4.641757926957157254e+07,3.981866403993489593e+07
1.392540537064596191e-02,5.604982926464491338e+07,4.330407708500024676e+07
2.097955491037861372e-02,6.743716616409498453e+07,5.670119943442837894e+07
2.912101018705679639e-02,8.018293332063241303e+07,6.327555833136654645e+07
4.375723866845881993e-02,9.851655558457764983e+07,7.386034626113364100e+07
6.584325961692287510e-02,1.177720395740391463e+08,7.929430929255118966e+07
8.948484079793181389e-02,1.385510303834407032e+08,9.299778557459244132e+07
1.422967398096371960e-01,1.671869714958667755e+08,1.035824805045125037e+08
2.305431546893028094e-01,2.007908360109333992e+08,1.114310721143995374e+08
3.883667087480921487e-01,2.447186174359760582e+08,1.243816146206273884e+08
6.933454073989815392e-01,2.885948380188229084e+08,1.288177736237819493e+08
1.271183021853802053e+00,3.487336507030074596e+08,1.305401560287087560e+08
2.505800629050683792e+00,4.023990238985950351e+08,1.402922108157523572e+08
4.637264720488594172e+00,4.700076513424421549e+08,1.265801019072432965e+08
9.099517246358626466e+00,5.336190173062127829e+08,1.324166245147614777e+08
1.841707993768666896e+01,6.001238490735869408e+08,1.194390641315862834e+08
3.574127907163783391e+01,6.596413861483981609e+08,1.284584142704059482e+08
7.478075015078945853e+01,7.192821668721885681e+08,1.180133718842584491e+08
1.638085912209296566e+02,7.878733977075098753e+08,1.266723495099062622e+08
3.642242360281265405e+02,8.550317951218671799e+08,9.724834736037553847e+07
8.054081755955643303e+02,9.203675230444792509e+08,9.452434204028876126e+07
1.769474247189603602e+03,9.594521813146086931e+08,9.376719844832697511e+07
3.880384063570230410e+03,1.011048276426616311e+09,9.497433787369865179e+07
8.576356684741947902e+03,1.060677036322926044e+09,9.509616307334701717e+07
2.021341476520289871e+04,1.099680199331987619e+09,9.004147869450853765e+07
4.695897077172841091e+04,1.148185855353938580e+09,9.388000048006729782e+07
9.858100788178744551e+04,1.195023139822725773e+09,1.054814361581686437e+08
2.136965462394190545e+05,1.231511666526296854e+09,9.724305835692490637e+07
4.301942008753373520e+05,1.269739112363118649e+09,9.984987182536615431e+07
8.408970993921961635e+05,1.300593265926772356e+09,1.095943160290174931e+08
