x,Ep,Epp
9.138117701764107892e+01,8.221950016938920021e+08,6.018795507723494619e+07
9.286761280132834884e+01,8.075328217282271385e+08,6.029300310435079038e+07
9.435585656267167565e+01,7.986603624183117151e+08,5.829900780525057763e+07
9.580281917532636271e+01,7.863508392560622692e+08,5.800317756487978995e+07
9.719392192983171697e+01,7.733281006403862238e+08,5.620283389334566891e+07
1.000199965956808654e+02,7.439553244905954599e+08,5.578140129832698405e+07
1.014349658645957817e+02,7.307683214505548477e+08,5.429848577421395481e+07
1.028229787308661969e+02,7.169780741344796419e+08,5.369862366573739797e+07
1.042545886503144459e+02,7.051557373638302088e+08,5.319375158982497454e+07
1.058471932356239336e+02,6.931112257625988722e+08,5.310829074012535810e+07
1.073528455844983114e+02,6.779643047135105133e+08,5.213623705574695766e+07
1.088599249659039003e+02,6.628825223909519911e+08,5.070630360382588953e+07
1.103486827008283768e+02,6.474865924158997536e+08,5.005268026585225761e+07
1.118522731086301292e+02,6.361371522194224596e+08,4.879352280856956542e+07
1.133148423779078371e+02,6.213057213371360302e+08,4.831901561287589371e+07
1.148086310071795992e+02,6.068755725404249430e+08,4.745681765069451183e+07
1.162919708558839318e+02,5.946746333631873131e+08,4.794857803736238927e+07
1.177568620763988463e+02,5.812867046703155041e+08,4.822723397911572456e+07
1.193098604622194614e+02,5.672272048351966143e+08,4.826332119693013281e+07
1.207227677900617380e+02,5.544672698205186129e+08,4.695232480956400186e+07
1.221761822828469235e+02,5.423205456580398083e+08,4.706468442055594176e+07
1.236413335135264191e+02,5.198232126743183732e+08,4.589188537414575368e+07
1.251315122342340942e+02,5.027117036940559745e+08,4.643551719118754566e+07
1.266467123982218936e+02,4.809008331725550294e+08,4.696706558771584183e+07
1.280807772973636531e+02,4.631582691598583460e+08,4.647116075667429715e+07
1.295264519526914455e+02,4.472021885230733752e+08,4.647276076774345338e+07
1.309357433252216083e+02,4.256137755553858280e+08,4.684805967145755887e+07
1.325774958783853776e+02,4.044107055396986008e+08,4.717780032214649767e+07
1.339557009193777901e+02,3.875000465218904018e+08,4.785721808234259486e+07
1.353883448327363794e+02,3.680951165329318643e+08,4.845643700613155216e+07
1.368288555652605964e+02,3.437709221556601524e+08,4.979023415349536389e+07
1.381603676180922378e+02,3.227560196781454086e+08,5.077355426621254534e+07
1.393955186945796640e+02,3.011861728716237545e+08,5.127878258150722086e+07
1.406742668242449099e+02,2.797695726266002655e+08,5.265150022859773040e+07
1.419372813155788720e+02,2.575036854167147279e+08,5.365928334464878589e+07
1.431706244144102413e+02,2.328384325958924890e+08,5.493407332168138772e+07
1.443794539967946093e+02,2.068529118750312328e+08,5.511452204920989275e+07
1.454805789035613088e+02,1.829318165863557160e+08,5.491081945584864169e+07
1.465482894808050673e+02,1.614176323126713634e+08,5.395819104174006730e+07
1.475941954847118609e+02,1.409380425125378370e+08,5.259403253085256368e+07
1.485049203900273369e+02,1.211977701807372272e+08,4.976403917316737026e+07
1.494322859458761741e+02,1.028969966741014719e+08,4.590173064209754020e+07
1.503445467251870866e+02,8.890202282599830627e+07,4.377097484676609933e+07
1.511973558780286169e+02,7.586274108016581833e+07,4.040574134799166769e+07
1.520086117785209296e+02,6.462513680217447877e+07,3.779470034494841844e+07
1.528196258090926847e+02,5.597818567971549183e+07,3.304915055776856095e+07
1.535629041684164520e+02,4.799045572718107700e+07,3.108981604295149446e+07
1.543401168775923509e+02,4.168917664984833449e+07,2.608391744409626350e+07
1.551286732860417032e+02,3.626217488514180481e+07,2.407660753926911578e+07
1.558078440229256216e+02,3.162339920439695567e+07,2.170958654327146709e+07
1.567411353918277541e+02,2.739814059216672927e+07,1.859721952941547334e+07
1.584396427218468659e+02,2.086681812618618831e+07,1.555190271698717214e+07
1.592917988259029300e+02,1.810085645002614707e+07,1.276541489801550470e+07
1.603122963946567268e+02,1.573075657124166191e+07,1.047373325292474031e+07
1.613331809552833818e+02,1.353188616667321138e+07,8.940157516670793295e+06
1.622786021007007093e+02,1.175232490032049455e+07,7.895027221793250181e+06
1.632874899132684732e+02,1.040917893293886259e+07,6.992242600574527867e+06
1.643501695961649034e+02,9.442545872586134821e+06,5.796577989254008047e+06
1.654747679787202799e+02,8.413386418094305322e+06,4.523801839280647226e+06
1.666407744916725733e+02,7.640860533854197711e+06,3.823373064413051121e+06
1.678040720615147734e+02,7.025574235479146242e+06,3.528758828273312189e+06
1.689994899568050641e+02,6.487096254054911435e+06,2.771496655862657819e+06
1.701453728923681865e+02,6.005635748241301626e+06,2.304845522628706880e+06
1.712947387547871472e+02,5.652505055996350944e+06,1.701762819785915548e+06
1.725807127483286081e+02,5.306770487661837600e+06,1.542903437670967076e+06
1.735985013739723115e+02,5.074862994430147111e+06,1.209339347722606035e+06
1.747118769922145134e+02,4.899762926766723394e+06,9.362345841529580066e+05
1.757954542362458312e+02,4.738991175979266874e+06,8.496188502810515929e+05
1.768534900166678767e+02,4.511123193509981968e+06,7.462949230346265249e+05
1.779181046589286552e+02,4.497573682517788373e+06,6.363334074107022025e+05
1.790198705209847958e+02,4.389912117963381112e+06,4.424497836498104152e+05
1.800620396346191967e+02,4.297266226533281617e+06,3.658615237073334865e+05
1.812148884238939672e+02,4.213022424197171815e+06,3.088696189290598850e+05
1.824911876206137435e+02,4.093099739320147783e+06,2.514057421666264709e+05
1.844752949528096622e+02,4.016591219483201392e+06,2.024936833686938044e+05
